,문제,답변,문제풀이(피드백),대분류,중분류,참고
150,함수형의 장점이 더 많으니 반드시 클래스형보다 함수형을 써야 할까요?,,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
151,React hooks는 무엇인지 설명해 주세요.,,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
152,왜 hook이 나오게 되었나요?,,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
153,상태(State)를 직접 변경하지 않고 set 함수를 사용하는 이유를 설명해 주세요.,,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
154,"만약 상태를 직접 변경한다면, 어떻게 될까요?",,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
155,리액트의 렌더링 성능 향상 방법에 관해 설명해 주세요.,,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
156,Lazy Loading은 어떻게 사용되나요?,,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
157,제어 컴포넌트와 비제어 컴포넌트는 언제 사용하나요?,,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
158,메모이제이션이 무엇이고 언제 사용해야 하는지 설명해 주세요.,,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
159,useMemo와 useCallback에 대한 개념과 언제 사용해야 하는지 설명해 주세요.,,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
160,React.memo는 무엇인지 설명해 주세요.,,,프론트엔드,React,"눈떠보니 기술 면접 전날 with JS, Python"
161,RDB와 NoSQL의 차이에 대해 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
162,NoSQL의 강점과 약점이 무엇인가요?,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
163,"DDL, DML, DCL 이란 무엇인가요?",,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
164,데이터베이스에서 인덱스를 사용하는 이유와 장단점을 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
165,일반적으로 인덱스는 수정이 잦은 테이블에선 사용하지 않기를 권합니다. 그 이유에 대해서 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
166,"기본키는 인덱스라고 할 수 있을까요? 그렇지 않다면, 인덱스와 기본키는 어떤 차이가 있나요?",,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
167,트랜잭션에 대해서 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
168,데이터를 읽을 때는 트랜잭션을 적용하지 않아도 되는지 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
169,트랜잭션의 롤백 과정에 대해 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
170,ACID에 대해서 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
171,ACID 속성과 BASE 속성의 차이점을 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
172,데이터 정규화와 비정규화에 대해서 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
173,트랜잭션 격리수준에 대해서 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
174,모든 데이터베이스 관리 시스템(DBMS)가 4개의 격리 수준을 구현하나요? 그렇지 않다면 그 이유를 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
175,트랜잭션을 병렬로 처리한다면 발생할 수 있는 문제를 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
176,Redis에 대해서 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
177,Redis는 언제 사용하는지 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
178,Redis 사용 시에 주의해야 할 점을 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
179,Elastic search에 대해서 간단히 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
180,Elastic search 클러스터(Custer)에 대해서 간단하게 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
181,Elastic Search의 키워드 검색과 POBS의 LIE 검색의 차이에 대해 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
182,JOIN에 대해 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
183,JOIN 연산 시 성능상 주의해야 할 점을 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
184,PULL OUTER JOIN을 어떤 상황에 사용하는지 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
185,MongoDB에 대해서 간단히 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
186,MongoDB의 스키마리스(schemaless) 특징을 간단히 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
187,MongoDB의 Replica Set이 무엇인지 간단히 설명해 주세요.,,,백엔드,데이터베이스,"눈떠보니 기술 면접 전날 with JS, Python"
188,배열과 연결 리스트의 차이점에 대해서 설명해 주세요.,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
189,배열과 연결 리스트 중 어떤 상황에서 어떤 데이터 구조를 선택해야 하나요?,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
190,연결 리스트에서 노드를 삭제할 때 메모리 누수를 어떻게 방지할 수 있나요?,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
191,스택과 큐의 차이를 설명해 주세요.,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
192,스택과 큐의 주요 용도는 무엇인가요?,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
193,해시 테이블은 무엇이며 어떤 상황에 사용하는지 설명해 주세요.,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
194,해시 테이블에서 충돌(Collision)은 어떻게 처리되나요?,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
195,트리 자료구조에 관해 설명해 주세요. 이진 트리와 이진 탐색 트리의 차이는?,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
196,이진 탐색 트리를 활용한 실제 응용 사례나 문제 해결에 어떻게 활용되는지 예시를 제시해주실 수 있을까요?,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
197,"이진 탐색 트리의 시간 복잡도는 어떻게 계산되며, 어떤 상황에서 최악의 시간 복잡도를 갖을 수 있을까요?",,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
198,그래프 자료구조와 그래프 탐색 알고리즘에 대해 설명해 주세요.,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
199,그래프 색 알고리즘을 활용하여 어떻게 최단 경로를 찾을 수 있는지 자세히 설명해주실 수 있을까요?,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
200,그래프 자료 구조를 사용하여 현실 세계의 어떤 문제를 해결할 수 있는 예를 들어볼 수 있을까요?,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
201,시간 복잡도와 공간 복잡도란 무엇이며 언제 사용되는지 설명해 주세요.,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
202,시간 복잡도와 공간 복잡도 중 어느 것이 더 중요한가요?,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
203,시간 복잡도를 최적화하는 방법 중 어떤 기술이 자주 사용되나요?,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
204,이진 탐색 알고리즘을 설명해 주세요.,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
205,이진 탐색 알고리즘의 동작 과정을 설명해보세요.,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
206,다른 검색 알고리즘과 비교했을 때 어떤 장점을 가지고 있나요?,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
207,다이내믹 프로그래밍이 무엇이며 어떤 문제에 사용하는지 설명해 주세요.,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
208,다이나믹 프로그래밍을 사용한 예제를 들어볼 수 있을까요?,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
209,다이나믹 프로그래밍과 분할 정복의 차이점은 무엇인가요?,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
210,그리디 알고리즘과 다이내믹 프로그래밍의 차이점에 대해 설명해 주세요.,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
211,그리디 알고리즘을 사용할 때 최적해를 보장할 수 없는 상황은 어떤 경우인가요?,,,백엔드,자료구조&알고리즘,"눈떠보니 기술 면접 전날 with JS, Python"
212,DDoS 공격 대해서 설명해 주세요.,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
213,DDoS 공격을 막기 위한 방법에 대해서 설명해 주세요.,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
214,Dos(Denial of Service)와 DDos(Distributed Dental of Service)의 차이점에 대해서 설명해 주세요.,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
215,JWT(JSON Web Token)에 대해서 간단히 설명해 주세요.,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
216,JWT(JSON Web Token)에 대해서 간단히 설명해 주세요.,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
217,JWT의 만료된 토큰을 다시 갱신하는 방법에 대해 설명해 주세요.,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
218,JWT의 서명 검증하는 과정을 간단하게 설명해 주세요.,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
219,OAuth에 대해서 간단히 설명해 주세요.,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
220,OAuth는 어떻게 작동하나요?,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
221,SQL Injection에 대해서 간단히 설명해 주세요.,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
222,SQL Injection을 방지하기 위한 방법에 대해 설명해 주세요.,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
223,단방향 암호화에 대해서 간단히 설명해 주세요.,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
224,단방향 암호화로 해시된 비밀번호가 유출되면 어떤 문제가 발생할 수 있나요?,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
225,해시 값 유출에 대한 문제를 방지하기 위한 방법에는 무엇이 있나요?,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
226,"솔트(salt)란 무엇이며, 왜 사용하는지 설명해 주세요.",,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
227,블록체인에 대해서 설명해 주세요.,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
228,블록체인의 거래 검증 과정에 대해 설명해 주세요.,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
229,블록체인에 관련된 공격 중 51% 공격 이란 무엇인가요?,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
230,"비대칭키 암호화, 대칭키 암호화에 대해 간단히 설명해 주세요.",,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
231,대칭키 암호화와 비대칭키 암호화 중 어떤 것이 더 안전한가요?,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
232,대칭키 암호화와 비대칭키 암호화 중 어떤 것이 더 안전한가요?,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
233,암호화 방식을 선택할 때 고려할 요소는 무엇이 있나요?,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
234,정보보안 38소에 대해서 설명해 주세요.,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
235,각 정보보안 요소를 보장하기 위한 기술에는 무엇이 있나요?,,,백엔드,암호화 & 보안,"눈떠보니 기술 면접 전날 with JS, Python"
236,Python의 GIL(Glcbal Interpreter Lock)이 무엇인지 설명해 주세요,,,백엔드,Python,"눈떠보니 기술 면접 전날 with JS, Python"
237,그럼 멀티 쓰레드 환경에선 어떻게 사용하면 될까요?,,,백엔드,Python,"눈떠보니 기술 면접 전날 with JS, Python"
238,python의 메모리 구조와 GC에 대해서 설명해주실 수 있나요?,,,백엔드,Python,"눈떠보니 기술 면접 전날 with JS, Python"
239,뮤텍스(Mutex)에 대해서는 아시나요?,,,백엔드,Python,"눈떠보니 기술 면접 전날 with JS, Python"
240,파이썬의 가비지 컬렉션에 대해 설명해 주세요.,,,백엔드,Python,"눈떠보니 기술 면접 전날 with JS, Python"
241,자바의 가비지 컬렉션과 어떤 차이점이 있을까요?,,,백엔드,Python,"눈떠보니 기술 면접 전날 with JS, Python"
242,파이썬의 내장되어 있는 정렬 함수들에 대해서 설명해 주세요,,,백엔드,Python,"눈떠보니 기술 면접 전날 with JS, Python"
243,Timsort 알고리즘에 대해서 알고 있나요?,,,백엔드,Python,"눈떠보니 기술 면접 전날 with JS, Python"
244,리스트와 튜플의 차이점에 대해 설명해 주세요.,,,백엔드,Python,"눈떠보니 기술 면접 전날 with JS, Python"
245,튜플의 값은 변경이 가능한가요?,,,백엔드,Python,"눈떠보니 기술 면접 전날 with JS, Python"
246,파이썬의 실행 과정에 대해서 설명해 주세요.,,,백엔드,Python,"눈떠보니 기술 면접 전날 with JS, Python"
247,파이썬의 .pyc 파일과 .py파일에 대해 설명해 주세요.,,,백엔드,Python,"눈떠보니 기술 면접 전날 with JS, Python"
248,"파이썬에서 변수 선언 시, 데이터 유형은 어떻게 정의되는지 설명해 주세요.",,,백엔드,Python,"눈떠보니 기술 면접 전날 with JS, Python"
249,파이썬의 빌트인 함수에 대해 설명해 주세요.,,,백엔드,Python,"눈떠보니 기술 면접 전날 with JS, Python"
250,빌트인 함수 사용의 장점이 있나요?,,,백엔드,Python,"눈떠보니 기술 면접 전날 with JS, Python"
251,파이썬의 generator는 무엇인지 설명해 주세요.,,,백엔드,Python,"눈떠보니 기술 면접 전날 with JS, Python"
252,generator는 어떤 상황에서 사용하면 좋을까요?,,,백엔드,Python,"눈떠보니 기술 면접 전날 with JS, Python"
253,OS(운영체제) 대해 설명해 주세요.,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
254,인터럽트에 대해 설명해 주세요.,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
255,기아 상태(Starvation)에 대해서 설명해 주세요.,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
256,에이징의 메커니즘은 무엇이고 언제 효과적인지 설명해 주세요.,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
257,뮤텍스란에 대해서 설명해 주세요.,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
258,세마포어란 무엇이며 뮤텍스와의 차이점은 무엇입니까?,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
259,가상메모리가 무엇인가요?,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
260,요구 페이징(Denand Paging)이란 무엇입니까?,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
261,페이징(Paging)에 대해서 설명해 주세요.,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
262,페이징 교체 알고리즘에 대해서 설명해 주세요.,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
263,CPU 스케줄링(Scheduling)에 대해서 설명해 주세요.,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
264,라운드 로빈 스케줄링(Round Robin Scheduling)이란 무엇인가요?,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
265,스택 영역과 힙 영역의 차이점은 무엇입니까?,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
266,캐시메모리에 대해서 설명해 주세요.,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
267,캐시의 지역성에 대해서 설명해 주세요.,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
268,교착 상태(DeadLock)란 무엇인지 설명해 주세요.,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
269,교착 상태를 해결할 수 있는 방법을 설명해 주세요.,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
270,프로세스와 쓰레드 차이에 관해 설명해 주세요.,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
271,"프로세스 제어 블록(PCB, Process Control Block)에 대해 설명해 주세요.",,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
272,문맥 교환(Context Switch)에 대해 설명해 주세요.,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
273,싱글 쓰레드와 멀티 쓰레드의 장단점에 대해서 설명해 주세요,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
274,싱글 쓰레드와 멀티 쓰레드의 차이점에 대해서 설명해 주세요.,,,백엔드,운영체제,"눈떠보니 기술 면접 전날 with JS, Python"
